income_ID;country_ID;year_ID;age_ID;gender_ID;median_income_MEUR
MT17_A65_F;MT;17;A65;F;10779.0
MT18_A65_F;MT;18;A65;F;10824.0
MT19_A65_F;MT;19;A65;F;11382.0
MT20_A65_F;MT;20;A65;F;12740.0
MT21_A65_F;MT;21;A65;F;13192.0
MT22_A65_F;MT;22;A65;F;13329.0
MT23_A65_F;MT;23;A65;F;13039.0
MT24_A65_F;MT;24;A65;F;14700.0
NL15_A65_F;NL;15;A65;F;18900.0
NL16_A65_F;NL;16;A65;F;18946.0
NL17_A65_F;NL;17;A65;F;19361.0
NL18_A65_F;NL;18;A65;F;19877.0
NL19_A65_F;NL;19;A65;F;20145.0
NL20_A65_F;NL;20;A65;F;21034.0
NL21_A65_F;NL;21;A65;F;21485.0
NL22_A65_F;NL;22;A65;F;22135.0
NL23_A65_F;NL;23;A65;F;23295.0
NL24_A65_F;NL;24;A65;F;25544.0
AT15_A65_F;AT;15;A65;F;21721.0
AT16_A65_F;AT;16;A65;F;22029.0
AT17_A65_F;AT;17;A65;F;22992.0
AT18_A65_F;AT;18;A65;F;22980.0
AT19_A65_F;AT;19;A65;F;24073.0
AT20_A65_F;AT;20;A65;F;24836.0
AT21_A65_F;AT;21;A65;F;25459.0
AT22_A65_F;AT;22;A65;F;25726.0
AT23_A65_F;AT;23;A65;F;27294.0
AT24_A65_F;AT;24;A65;F;29702.0
PL15_A65_F;PL;15;A65;F;5217.0
PL16_A65_F;PL;16;A65;F;5417.0
PL17_A65_F;PL;17;A65;F;5384.0
PL18_A65_F;PL;18;A65;F;5816.0
PL19_A65_F;PL;19;A65;F;6119.0
PL20_A65_F;PL;20;A65;F;6699.0
PL21_A65_F;PL;21;A65;F;7152.0
PL22_A65_F;PL;22;A65;F;7910.0
PL23_A65_F;PL;23;A65;F;8765.0
PL24_A65_F;PL;24;A65;F;10626.0
PT15_A65_F;PT;15;A65;F;7571.0
PT16_A65_F;PT;16;A65;F;7784.0
PT17_A65_F;PT;17;A65;F;8163.0
PT18_A65_F;PT;18;A65;F;8208.0
PT19_A65_F;PT;19;A65;F;9005.0
PT20_A65_F;PT;20;A65;F;9800.0
PT21_A65_F;PT;21;A65;F;10027.0
PT22_A65_F;PT;22;A65;F;10360.0
PT23_A65_F;PT;23;A65;F;10899.0
PT24_A65_F;PT;24;A65;F;10986.0
RO15_A65_F;RO;15;A65;F;2133.0
RO16_A65_F;RO;16;A65;F;2214.0
RO17_A65_F;RO;17;A65;F;2405.0
RO18_A65_F;RO;18;A65;F;2841.0
RO19_A65_F;RO;19;A65;F;3169.0
RO20_A65_F;RO;20;A65;F;3543.0
RO21_A65_F;RO;21;A65;F;4099.0
RO22_A65_F;RO;22;A65;F;5324.0
RO23_A65_F;RO;23;A65;F;5913.0
RO24_A65_F;RO;24;A65;F;6826.0
SI15_A65_F;SI;15;A65;F;10684.0
SI16_A65_F;SI;16;A65;F;10539.0
SI17_A65_F;SI;17;A65;F;10914.0
SI18_A65_F;SI;18;A65;F;10976.0
SI19_A65_F;SI;19;A65;F;11544.0
SI20_A65_F;SI;20;A65;F;12004.0
SI21_A65_F;SI;21;A65;F;12799.0
