indicator_ID;country_ID;year_ID;KPI_ID;value
IE14_SAVR;IE;14;SAVR;10.98
IE15_CON;IE;15;CON;85023.0
IE15_INC;IE;15;INC;89961.0
IE15_HVPI;IE;15;HVPI;100.0
IE15_INF;IE;15;INF;0.0
IE15_SAVN;IE;15;SAVN;6963.0
IE15_SAVR;IE;15;SAVR;12.09
IE16_CON;IE;16;CON;89168.0
IE16_INC;IE;16;INC;94554.0
IE16_HVPI;IE;16;HVPI;99.0
IE16_INF;IE;16;INF;-0.2
IE16_SAVN;IE;16;SAVN;7054.0
IE16_SAVR;IE;16;SAVR;11.89
IE17_CON;IE;17;CON;92771.0
IE17_INC;IE;17;INC;100829.0
IE17_HVPI;IE;17;HVPI;100.0
IE17_INF;IE;17;INF;0.3
IE17_SAVN;IE;17;SAVN;10396.0
IE17_SAVR;IE;17;SAVR;14.3
IE18_CON;IE;18;CON;98869.0
IE18_INC;IE;18;INC;105048.0
IE18_HVPI;IE;18;HVPI;100.0
IE18_INF;IE;18;INF;0.7
IE18_SAVN;IE;18;SAVN;8885.0
IE18_SAVR;IE;18;SAVR;12.7
IE19_CON;IE;19;CON;103621.0
IE19_INC;IE;19;INC;112840.0
IE19_HVPI;IE;19;HVPI;101.0
IE19_INF;IE;19;INF;0.9
IE19_SAVN;IE;19;SAVN;10956.0
IE19_SAVR;IE;19;SAVR;13.84
IE20_CON;IE;20;CON;92719.0
IE20_INC;IE;20;INC;119053.0
IE20_HVPI;IE;20;HVPI;101.0
IE20_INF;IE;20;INF;-0.5
IE20_SAVN;IE;20;SAVN;28005.0
IE20_SAVR;IE;20;SAVR;26.67
IE21_CON;IE;21;CON;104102.0
IE21_INC;IE;21;INC;124967.0
IE21_HVPI;IE;21;HVPI;103.0
IE21_INF;IE;21;INF;2.4
IE21_SAVN;IE;21;SAVN;24411.0
IE21_SAVR;IE;21;SAVR;22.72
IE22_CON;IE;22;CON;124193.0
IE22_INC;IE;22;INC;135066.0
IE22_HVPI;IE;22;HVPI;112.0
IE22_INF;IE;22;INF;8.1
IE22_SAVN;IE;22;SAVN;14386.0
IE22_SAVR;IE;22;SAVR;15.13
IE23_CON;IE;23;CON;140665.0
IE23_INC;IE;23;INC;150246.0
IE23_HVPI;IE;23;HVPI;117.0
IE23_INF;IE;23;INF;5.2
IE23_SAVN;IE;23;SAVN;13803.0
IE23_SAVR;IE;23;SAVR;13.34
GR12_CON;GR;12;CON;126952.0
GR12_INC;GR;12;INC;112458.0
GR12_HVPI;GR;12;HVPI;103.0
GR12_INF;GR;12;INF;1.0
GR12_SAVN;GR;12;SAVN;-14499.0
GR12_SAVR;GR;12;SAVR;-2.28
GR13_CON;GR;13;CON;120722.0
GR13_INC;GR;13;INC;104967.0
GR13_HVPI;GR;13;HVPI;102.0
GR13_INF;GR;13;INF;-0.9
GR13_SAVN;GR;13;SAVN;-15762.0
GR13_SAVR;GR;13;SAVR;-4.06
GR14_CON;GR;14;CON;117927.0
GR14_INC;GR;14;INC;107829.0
GR14_HVPI;GR;14;HVPI;101.0
GR14_INF;GR;14;INF;-1.4
GR14_SAVN;GR;14;SAVN;-10106.0
GR14_SAVR;GR;14;SAVR;0.26
GR15_CON;GR;15;CON;116723.0
GR15_INC;GR;15;INC;106439.0
GR15_HVPI;GR;15;HVPI;100.0
GR15_INF;GR;15;INF;-1.1
GR15_SAVN;GR;15;SAVN;-10292.0
GR15_SAVR;GR;15;SAVR;-0.36
GR16_CON;GR;16;CON;116006.0
GR16_INC;GR;16;INC;105872.0
GR16_HVPI;GR;16;HVPI;100.0
GR16_INF;GR;16;INF;0.0
GR16_SAVN;GR;16;SAVN;-10115.0
GR16_SAVR;GR;16;SAVR;-0.57
GR17_CON;GR;17;CON;119574.0
GR17_INC;GR;17;INC;108390.0
GR17_HVPI;GR;17;HVPI;101.0
GR17_INF;GR;17;INF;1.1
GR17_SAVN;GR;17;SAVN;-11136.0
GR17_SAVR;GR;17;SAVR;-1.66
GR18_CON;GR;18;CON;122536.0
GR18_INC;GR;18;INC;107139.0
GR18_HVPI;GR;18;HVPI;101.0
GR18_INF;GR;18;INF;0.8
GR18_SAVN;GR;18;SAVN;-15377.0
GR18_SAVR;GR;18;SAVR;-5.63
GR19_CON;GR;19;CON;125719.0
GR19_INC;GR;19;INC;115527.0
GR19_HVPI;GR;19;HVPI;102.0
GR19_INF;GR;19;INF;0.5
GR19_SAVN;GR;19;SAVN;-10171.0
GR19_SAVR;GR;19;SAVR;-1.32
GR20_CON;GR;20;CON;116480.0
GR20_INC;GR;20;INC;110166.0
GR20_HVPI;GR;20;HVPI;101.0
GR20_INF;GR;20;INF;-1.3
GR20_SAVN;GR;20;SAVN;-6290.0
GR20_SAVR;GR;20;SAVR;1.76
GR21_CON;GR;21;CON;123698.0
GR21_INC;GR;21;INC;122456.0
